muy,"very, too, really"
arrestos,"arrests, arrest, detention"
gusto,like
gustas,"like, (you) like, (you) taste"
gusta,like
compráis,"(?) do you buy, buy, (?) are you buying"
duda,"certainly, definitely, surely"
dudas,"doubts, (you) doubt"
dudo,(I) doubt
lleno,"full, (I) fill"
llenas,"full, (you) fill, (you) fill out"
llenamos,"(we) fill, (we) fill in, (we) fill out"
llena,"full, (you) fill out, crowded"
salvamos,"(we) save, (we) pass, (we) saved"
salvo,"(I) save, safe, (I) cover"
pedís,"(?) are you asking for, (you) ask for"
regresáis,"return, (?) do you return"
preguntáis,"ask, (you) ask, (?) can you ask"
continuáis,you continue
posee,"(he/she/it) owns, own!, (you-formal) own"
poseen,"(they/you-plural) possess, (they/you-plural) have, (they/you-plural) own"
mezclo,"(I) mix, (I) mix up, (I) merge"
mezcla,"(he) mixes, (you) mix"
mezclan,"(they/you-plural) blend, (they/you-plural) get … mixed up, (they/you-plural) mix"
ganáis,"win, earn, (?) do you earn"
para,"for, to, (he) stops"
permiten,"allow, (they/you-plural) allow, (they/you-plural) permit"
permite,"allow, (he/she/it) allows, (he/she/it) permits"
recibís,"(you) receive, receive, (?) do you receive"
vivís,"live, lived, (?) do you live"
añadís,"(you) add, add, (?) do you add"
considera,"consider, thinks, consider!"
consideran,"(they/you-plural) consider, (they/you-plural) consider oneself, (they/you-plural) weigh up"
considero,"(I) consider, (I) consider oneself, (I) give … consideration"
utilizan,"use, (they/you-plural) use, (they/you-plural) utilize"
utiliza,"used, (he/she/it) utilizes, utilize!"
valen,"worth, (they/you-plural) are worth, (they/you-plural) OK"
vale,"(he/she/it) is worth, (to) be worth, (he/she/it) OK'S"
contiene,"(he/she/it) contains, (he/she/it) contains oneself, (he/she/it) holds"
gastáis,"(you) spend, spend"
reconocen,"(they/you-plural) recognize, (they/you-plural) examine, (they/you-plural) reconnoiter"
reconoce,"recognize!, (you-formal) recognize, (you-formal) acknowledge"
interesa,"(they) are interested, interest"
entiende,"(?) do you understand, (he) understands, understand"
derrotan,"(they/you-plural) defeat, (they/you-plural) beat, (they/you-plural) pull to one side"
derrota,"defeat!, beat, (you-formal) defeat"
cuesta,"(?) does it cost, (it) costs, (it) is"
ocupa,"deals, (he/she/it) takes up, take up!"
cortáis,"cut, (you) cut"
rechazo,"(I) reject, rejection, (I) repel"
deja,"(she) lets, (you) put down, (you) stop"
dejan,"let, (they/you-plural) let, (they/you-plural) abandon"
dejo,"let, leave, (I) leave"
afecta,"affect!, (he/she/it) affects, (you-formal) affect"
afectan,"(they/you-plural) affect, (they/you-plural) feign, (they/you-plural) encumber"
mejora,"better, (he/she/it) improves, (he/she/it) gets better"
desean,"(they) want, (they) wish, (?) do they wish"
desea,"want, (he/she/it) desires, (he/she/it) wants"
deseamos,"We, (we) wish, (we) wanted"
deseas,"(?) do you wish, (you) wish"
alcanza,"catch, (he/she/it) reaches, catch up with!"
observo,"(I) observe, (I) remark, (I) abide by"
observa,"(he/she/it) observes, (he/she/it) remarks, (he/she/it) abides by"
consulto,"(I) consult, (I) provide, (I) look up"
consulta,"consultation, consult, (he/she/it) consults"
voláis,"fly, (you) fly, (?) do you fly"
pierde,(he) loses
pierdo,"(I) lose, (I) get lost, (I) fade"
creamos,cream
intento,"attempt, (I) try to, aim"
reserváis,"book, (?) can you book, (you) book"
expresan,"(they/you-plural) express, (they/you-plural) express oneself, couch"
expresa,"(he/she/it) expresses, express!, (he/she/it) expresses oneself"
ponéis,"(?) do you put, (you) put"
tratáis,"(you) try, (?) do you try"
usáis,"(?) do you use, use"
termináis,"finish, (you) finish, (?) do you finish"
creéis,"believe, (you) believe, (?) do you believe"
pertenece,"(?) does it belong, (it) belongs, belong"
pertenezco,belong
perteneces,(you) belong
anda,"(he/she/it) walks, (he/she/it) works, (he/she/it) is"
ando,"(I) walk, ride, (I) go"
andan,"(they/you-plural) go, (they/you-plural) wear something, (they/you-plural) work"
andamos,"(we) wear something, (we) are, (we) walk"
levanto,(you) pick up
levanta,(you) pick up
levantan,"(?) do you get up, (they) get up"
necesitáis,"(?) do you need, (you) need"
descansa,"(he/she/it) rests, (he/she/it) rests / hinge on something, rest / hinge on something!"
esperáis,"(?) do you wait, (you) wait"
caigo,"fall, (I) fall, (I) fall off"
cae,"(he/she/it)  lets drop / fall, (he/she/it)  hangs, (he/she/it)  falls"
ofrecemos,"(we) offer, (we) offer up, (we) throw"
ofrecen,give
ofrece,(he) offers
ofreces,"(you) offer, (you) offer up, (you) present"
tira,"throw, throw!, (you-formal) throw"
tiro,"throw, kick, (I) throw"
giráis,"turn, (you) turn"
cura,"cure!, (you-formal) cure, bandage"
secan,"dry, (?) do you dry"
saltas,"jump, (you) jump, take"
odiáis,"(?) do you hate, hate"
puntos,"points, dots, extent"
punto,"point, dot, period"
medida,"measure, measurement, As"
medidas,"measurements, measures, moves"
energía,"energy, firmness"
funciones,"functions, (you) work, performances"
función,"show, performance, function"
análisis,"analysis, analyses, calculi"
materia,"matter, subject"
materias,"classes, subjects, fields"
ciencia,science
concepto,"concept, conceit"
conceptos,"concepts, conceits"
teoría,theory
físicas,"appearances, physique, figures"
técnicos,"technicians, coaches, engineers"
técnica,technique
técnicas,"techniques, coaches, engineers"
superficie,"surface, area"
velocidad,"speed, gear"
método,"method, course book, handbook"
métodos,methods
volumen,volume
elementos,"elements, crowd, crowds"
elemento,"element, crowd, elements"
masa,"mass, earth, batter"
filosofía,philosophy
equilibrio,"balance, equilibrium"
límites,"limits, boundaries"
límite,"limit, boundary"
científicos,"scientists, scientific"
científico,"scientist, scientific"
científica,"scientist, scientific"
fórmula,"formula, prescription, recipe"
promedio,average
tesis,"thesis, theory, theses (pl.)"
sustancias,"substances, (you) back up, (you) substantiate"
atmósfera,atmosphere
laboratorio,"laboratory, lab"
profundidad,"depth, the depths"
proporción,"proportion, proportions"
descubrimientos,"discoveries, finds"
descubrimiento,"discovery, find"
observación,"observation, comment, note"
núcleo,"nucleus, core, center"
química,"chemistry, chemical"
dios,god
espíritu,"spirit, mind, nature"
espíritus,"spirits, natures"
alma,"soul, souls, core"
fe,faith
católica,Catholic
católico,Catholic
religioso,"religious, religious person, member of a religious order"
religiosos,"religious, religious person, member of a religious order"
religiosa,"religious, religious person, member of a religious order"
santa,"holy, St, saint"
santo,"saint, holy, St"
cruz,"cross, burden"
religión,religion
gol,goal
goles,goals
campeón,champion
campeonato,championship
descenso,"descent, decline, decrease"
liga,"league, give … the eye!, (he/she/it) gives … the eye"
habré,"have, (I) will have"
habrán,"will, have, (they/you-plural) will have"
habremos,"have, we will, (we) will have"
habrás,"have, (you) will have, (you) will is"
haya,"be, there are, there is"
participar,"(to) participate, (to) announce, (to) provide"
desarrollar,"(to) develop, (to) expound, (to) explain"
continuar,"(to) continue, going, continue"
reconocer,"(to) recognize, (to) examine, (to) admit"
actuar,"(to) act, (to) perform, act"
formar,"(to) form, (to) develop, (to) make"
reducir,"(to) reduce, (to) cut, (to) exhume"
aumentar,"(to) increase, (to) rise, (to) raise"
comprobar,"(to) check, (to) confirm, (to) prove"
abandonar,"(to) abandon, (to) withdraw, (to) retire"
descubrir,"(to) discover, (to) find, (to) uncover"
observar,"(to) observe, (to) remark, (to) abide by"
demostrar,"show, (to) show, (to) demonstrate"
recuperar,"(to) recover, (to) recover from something, (to) undelete"
aplicar,"apply, (to) apply, (to) apply oneself"
controlar,"(to) control, (to) control oneself, (to) check"
defender,"(to) defend, (to) defend oneself, (to) uphold"
matar,"kill, (to) kill, (to) kill oneself"
regresar,"return, (to) return, (to) come back"
analizar,"(to) analyze, (to) examine, go"
mostrar,"(to) show, show"
iniciar,"start, (to) initiate, (to) begin"
permitir,"allow, (to) allow, (to) permit"
definir,"(to) define, (to) make … sharp"
colocar,"place, (to) place, (to) put"
andar,"going, (to) walk, ride"
aparecer,"(to) appear, (to) make … appear, (to) seem"
cubrir,"(to) cover, (to) take cover, (to) cover oneself"
asumir,"(to) assume, (to) adopt, take"
atender,"(to) serve, tend to, (to) attend to"
sufrir,"(to) suffer, (to) undergo, (to) bear"
impedir,"(to) prevent, (to) hamper, (to) hinder"
existir,"(to) exist, (to) live"
eliminar,"(to) eliminate, (to) remove, (to) delete"
sería,"would, be, (I/he/she/it/you) would be"
serías,"be, (you) would be, are"
serían,"would, be, (they/you-plural) would be"
estaríamos,"be, (we) would be, (we) would stay"
estaría,"would, be, (I/he/she/it/you) would be"
estarías,"be, (you) would be, come"
estarían,"be, (they/you-plural) would be, (they/you-plural) would stay"
tendríais,would have
gustaría,"like, (?) would you like"
beberías,"drink, (you) would drink"
bebería,"drink, (I/he/she/it/you) would drink"
beberían,"drink, (they/you-plural) would drink, would"
comeríais,"(?) do you buy, buy, (?) are you buying"
erais,"(you) were, were"
diríais,"turn, (you) turn"
estabais,"(you) were, were"
bebíais,"drank, (?) did you drink, drink"
comíais,"(you) ate, ate, (?) did you eat"
teníais,"(you) had, had, (?) did you have"
veíais,"watched, (you) used to watch, (?) did you use to see"
hacíais,"(you) were doing, do, (?) did you do"
caminabais,"(you) used to walk, (?) did you use to walk, (you) walked"
ibais,"go, (you) were going to, (you) used to go"
decía,(they) said
decíamos,"(we) were saying to oneself, (we) used to say to each other, (we) were saying to each other"
decías,"(you) used to say, (you) were thinking, said"
decían,"(they/you-plural) were saying to oneself, said, saying"
parecía,"(I/he/she/it/you) seemed, (I/he/she/it/you) looked like, (I/he/she/it/you) used to look like"
sabían,(they) knew
sabía,"(he) knew, (she) knew"
sabías,"(you) used to know, (you) tasted, (you) knew"
daba,"(I/he/she/it/you) used to give, (I/he/she/it/you) used to give on to, (I/he/she/it/you) used to lead to"
daban,"(they/you-plural) used to give, (they/you-plural) used to give on to, (they/you-plural) used to lead to"
sentía,(he) felt
tratabais,"(you) were trying, tried, (you) tried"
encontraba,"(I/he/she/it/you) used to find, (I/he/she/it/you) used to meet, (I/he/she/it/you) used to be"
seguía,"(I/he/she/it/you) was/were following, (I/he/she/it/you) was/were continuing, (I/he/she/it/you) was/were taking"
veníais,"(you) had, had, (?) did you have"
pensabas,"(you) were thinking, (you) were thinking about, (you) thought"
pensaba,"(I/he/she/it/you) thought, (I/he/she/it/you) thought about, (I/he/she/it/you) was/were thinking about"
quedaba,"There was, (I/he/she/it/you) was/were staying, (I/he/she/it/you) was/were"
quedaban,"(they/you-plural) stayed, (they/you-plural) kept, (they/you-plural) were"
esperabais,"(you) used to wait, (you) waited, waited"
hablabais,"(you) used to talk, (?) did you talk, talk"
conocíais,"knew, (you) used to know, (?) did you know"
pasaba,"(I/he/she/it/you) used to pass (on), (I/he/she/it/you) used to spend, (I/he/she/it/you) used to happen"
pasábamos,"(we) passed (on), (we) happened, (we) used to happen"
pasaban,"play, show, spend"
dejaba,"let, (I/he/she/it/you) used to let, (I/he/she/it/you) used to leave"
mirabais,"watch, (you) watched, (?) did you use to watch"
necesitabais,"(you) needed, (?) did you need"
creíais,"(you) believed, (you) used to believe, believe"
fuera,"out, were, (she) go"
fuéramos,"(we) go, (we) escape, (we) be"
fueras,"were, was, (you) go"
fueran,"were, (they) were"
hubieran,"had, (they/you-plural) have, (they/you-plural) is"
hubiera,"had, (I/he/she/it/you) have, have"
hiciera,"(I/he/she/it/you) make, (I/he/she/it/you) do, (I/he/she/it/you) become"
tuviera,"had, (I/he/she/it/you) have"
tuvieras,"(you) have, HAD"
tuviéramos,(we) have
habrías,"have, (you) would have, (you) would is"
habrían,"would, have, (they/you-plural) would have"
habría,"would, have, had"
habríamos,"have, (we) would have, had"
considerado,"considered, considered oneself, given … consideration"
dicho,"told, said"
partir,"leave, (to) leave, leaving"
realizar,"(to) carry out, (to) be realized, (to) realize"
dejar,"let, (to) leave, (to) allow"
conseguir,"(to) get, (to) find, find"
obtener,"(to) get, (to) win, (to) achieve"
mantener,"(to) keep, (to) support, (to) keep up"
lograr,"(to) achieve, (to) be able to, (to) attain"
pesar,"Despite, (to) weigh, (to) weigh out"
establecer,"(to) establish, (to) lay down, get"
alcanzar,"catch, (to) catch, (to) catch up with"
tratar,"(to) try, (to) treat, try"
utilizar,"(to) use, (to) utilize, borrow"
presentar,"present, introduce, (to) present"
resolver,"(to) resolve, solving, (to) solve"
considerar,"consider, (to) consider, (to) consider oneself"
producir,"(to) produce, (to) give rise to, (to) yield"
